Date,Time,Bucket_ID,Cuke_ID,Activity_score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions,
13-11-2021,09:30,11,B,NA,0,1,NA,NA,
13-11-2021,09:30,12,A,NA,0,0,NA,"The middle feels firm but not in a tensing muscular way, but rather it's hard",
13-11-2021,09:30,12,B,NA,1,1,1,Starting to eviserate ,
13-11-2021,09:30,14,A,NA,1,1,4,NA,
13-11-2021,09:30,14,B,NA,NA,NA,NA,NA,
13-11-2021,09:30,28,A,NA,0,0,NA,Touching him made him let go of his respiratory tree,
13-11-2021,09:30,15,A,NA,1,1,2,NA,
13-11-2021,09:30,15,B,NA,1,1,NA,NA,
13-11-2021,09:30,16,A,NA,1,2,NA,NA,
13-11-2021,09:30,16,B,NA,2,1,NA,NA,
13-11-2021,09:30,17,A,NA,2,2,NA,NA,
13-11-2021,09:30,17,B,NA,2,1,NA,NA,
13-11-2021,09:30,18,A,NA,0,0,NA,NA,
13-11-2021,09:30,18,B,NA,1,2,NA,NA,
13-11-2021,09:30,19,A,NA,2,2,NA,NA,
13-11-2021,09:30,19,B,NA,2,1,NA,NA,
13-11-2021,09:30,20,A,NA,1,1,NA,NA,
13-11-2021,09:30,20,B,NA,1,1,NA,NA,
13-11-2021,09:30,21,A,NA,2,2,1,NA,
13-11-2021,09:30,21,B,NA,2,2,2,NA,
13-11-2021,09:30,22,A,NA,2,2,NA,NA,
13-11-2021,09:30,22,B,NA,2,2,NA,NA,
13-11-2021,09:30,24,A,NA,2,2,4,NA,
13-11-2021,09:30,24,B,NA,1,1,3,NA,
13-11-2021,09:30,29,A,NA,2,1,NA,NA,
13-11-2021,09:30,25,A,NA,2,1,2,NA,
13-11-2021,09:30,25,B,NA,2,2,2,NA,
13-11-2021,09:30,9,A,NA,1,2,NA,NA,
13-11-2021,09:30,9,B,NA,1,1,2,NA,
13-11-2021,09:30,23,A,NA,1,1,NA,NA,
13-11-2021,09:30,23,B,NA,2,2,NA,NA,
13-11-2021,09:30,13,A,NA,2,2,2,NA,
13-11-2021,09:30,13,B,NA,2,2,NA,NA,
13-11-2021,09:30,27,A,NA,1,2,NA,NA,
13-11-2021,09:30,26,A,NA,1,1,5,NA,
13-11-2021,09:30,26,B,NA,1,1,NA,NA,
14-11-2021,10:30,1,A,NA,2,2,3,0,
14-11-2021,10:30,1,B,NA,1,2,0,0,
14-11-2021,10:30,2,A,NA,2,2,1,0,
14-11-2021,10:30,2,B,NA,2,1,0,0,
14-11-2021,10:30,3,A,NA,2,2,0,0,
14-11-2021,10:30,3,B,NA,2,2,1,0,
14-11-2021,10:30,4,A,NA,2,2,4,0,
14-11-2021,10:30,4,B,NA,2,2,0,0,
